frame,time_s_center,time_s_from_start,moon_distance_km,moon_px,sun_px,scale_pct,screen_x_px,screen_y_px,alpha_deg,beta_deg,angular_sep_deg,sun_az_deg,sun_alt_deg,moon_az_deg,moon_alt_deg,utc_iso
1091,494.3471735867943,5894.347173586794,355151.56593652064,65.42131813728918,62.27138962008552,13.084263627457837,-4.1496328787885135,5.964438283504367,-0.0355573217351697,0.0511079963430609,0.0622603331011902,204.70226910899945,54.83203174421027,204.6404567722005,54.88312405158612,2006-03-29 11:02:18.902
1092,499.749874937469,5899.749874937469,355152.1402104831,65.42121235231608,62.27138830120608,13.084242470463217,-4.180691872471853,6.0315071949976256,-0.0358234595783672,0.0516826951950529,0.0628841780301956,204.7390025863783,54.82445043852624,204.67673842681995,54.876117213157286,2006-03-29 11:02:24.305
1093,505.1525762881447,5905.152576288145,355152.715221103,65.42110643198869,62.271386982005374,13.084221286397735,-4.211689794620998,6.098607820629387,-0.0360890741111694,0.0522576657881632,0.0635081369529803,204.77572257096656,54.81685854283455,204.7130076702545,54.86910005530071,2006-03-29 11:02:29.708
1094,510.55527763881946,5910.55527763882,355153.29096814035,65.42100037635254,62.27138566248342,13.084200075270507,-4.242626659719181,6.165740080336117,-0.0363541654576778,0.0528329074362142,0.0641322068538659,204.812429052844,54.809256064150006,204.74926449211551,54.86207258435642,2006-03-29 11:02:35.110
1095,515.9579789894951,5915.957978989495,355153.86745202244,65.42089418533021,62.27138434264032,13.084178837066045,-4.2735025328905065,6.2329039403781445,-0.0366187341759245,0.0534084198499673,0.0647563853993455,204.84912202213897,54.80164300948965,204.78550888130653,54.85503480706324,2006-03-29 11:02:40.513
1096,521.3606803401708,5921.360680340171,355154.4446720389,65.42078785905389,62.27138302247605,13.084157571810778,-4.304317408497365,6.300099302851375,-0.0368827802176001,0.0539842021903722,0.0653806695632038,204.88580146901737,54.79401938587515,204.82174082782157,54.84798672961533,2006-03-29 11:02:45.916
1097,526.7633816908456,5926.763381690846,355155.0226285597,65.42068139745676,62.27138170199053,13.084136279491352,-4.3350713186640535,6.367326104134192,-0.0371463038579689,0.054560253912138,0.0660050568438049,204.92246738368868,54.78638520033139,204.85796032113404,54.84092835850342,2006-03-29 11:02:51.318
1098,532.1660830415212,5932.166083041521,355155.6013213423,65.42057480058482,62.27138038118397,13.084114960116963,-4.365764351775091,6.434584332334282,-0.0374093058543769,0.05513657491323,0.0666295454713224,204.95911975640195,54.778740459888105,204.89416734991772,54.833859700665975,2006-03-29 11:02:56.721
1099,537.5687843921969,5937.568784392197,355156.1807502433,65.42046806846578,62.27137906005652,13.084093613693156,-4.396396453105286,6.501873844068326,-0.0376717857378939,0.055713163964896,0.0672541321446785,204.99575857745268,54.77108517157663,204.93036190502264,54.82678076191736,2006-03-29 11:03:02.124
1100,542.9714857428717,5942.971485742872,355156.76091562933,65.42036120103346,62.27137773860781,13.084072240206693,-4.4269677244813535,6.569194638693441,-0.0379337443810497,0.0562900210614947,0.0678788154140408,205.03238383717516,54.76341934243365,204.96654397500484,54.81969154929915,2006-03-29 11:03:07.527
1101,548.3741870935473,5948.374187093547,355157.341816218,65.4202541985254,62.271376416838265,13.08405083970508,-4.457478152760452,6.6365466118254375,-0.0381951816712244,0.0568671453084482,0.0685035926230424,205.06899552594516,54.75574297949891,205.0027135501722,54.81259206896792,2006-03-29 11:03:12.929
1102,553.776888444223,5953.776888444223,355157.9234536887,65.42014706063355,62.27137509474755,13.08402941212671,-4.487927779938044,6.703929708449993,-0.0384560979682667,0.057444536234218,0.0691284618086494,205.1055936341828,54.74805608981537,205.03887062005452,54.80548232750599,2006-03-29 11:03:18.332
1103,559.1795897948978,5959.179589794898,355158.5058270877,65.42003978753498,62.271373772335885,13.084007957506996,-4.518316628540009,6.771343855506646,-0.0387164934651949,0.0580221932126315,0.0697534208610863,205.14217815234835,54.74035868042981,205.0750151745103,54.79836233134506,2006-03-29 11:03:23.735
1104,564.5822911455734,5964.582291145573,355159.088935808,65.4199323793428,62.27137244960347,13.083986475868558,-4.548644770719977,6.838789026740323,-0.0389763687802765,0.0586001160185812,0.0703784683115026,205.17874907094227,54.73265075839324,205.1111472026982,54.791232087321625,2006-03-29 11:03:29.137
1105,569.9849924962482,5969.984992496248,355159.67278125754,65.41982483579898,62.27137112655001,13.083964967159794,-4.578912207474101,6.906265128472348,-0.0392357239220462,0.0591783038492213,0.0710036019401371,205.21530638051047,54.72493233075896,205.14726669487985,54.78409160169732,2006-03-29 11:03:34.540
1106,575.3876938469239,5975.387693846924,355160.2573611939,65.41971715731793,62.27136980317592,13.083943431463588,-4.609118955445093,6.973772083014179,-0.039494559033111,0.0597567560387216,0.0716288197811146,205.2518500716373,54.717203404584616,205.1833736411207,54.7769408808749,2006-03-29 11:03:39.943
1107,580.7903951975995,5980.7903951976,355160.84267748555,65.41960934355683,62.27136847948079,13.083921868711364,-4.639265073824606,7.041309852262696,-0.0397528746206705,0.0603354722604503,0.0722541204149995,205.28838013495147,54.70946398693074,205.2194680308966,54.76977993159893,2006-03-29 11:03:45.345
1108,586.1930965482743,5986.193096548274,355161.4287290355,65.41950139471905,62.271367155464894,13.08390027894381,-4.66935057032134,7.108878347659197,-0.040010670750778,0.0609144517554325,0.07287950187804,205.32489656112145,54.70171408486184,205.25554985448724,54.76260876018589,2006-03-29 11:03:50.748
1109,591.59579789895,5991.59579789895,355162.0155163703,65.41939331070897,62.27136583112837,13.083878662141792,-4.699375484371278,7.176477513283918,-0.0402679477613513,0.0614936940443692,0.0735049626468135,205.36139934085745,54.69395370544514,205.2916191017408,54.75542737323445,2006-03-29 11:03:56.151
1110,596.9984992496256,5996.998499249626,355162.60303891543,65.41928509163372,62.27136450647114,13.083857018326745,-4.729339837304003,7.244107274160022,-0.0405247058351584,0.0620731984846649,0.0741305010309216,205.39788846491268,54.686182855751774,205.32767576281637,54.74823577718392,2006-03-29 11:04:01.554
1111,602.4012006003004,6002.4012006003,355163.1912966605,65.4191767374966,62.27136318149312,13.08383534749932,-4.759243717901181,7.311767619707097,-0.0407809457329498,0.0626529649855228,0.0747561161702175,205.43436392407867,54.678401542856975,205.36371982690736,54.74103397902896,2006-03-29 11:04:06.956
1112,607.8039019509761,6007.803901950976,355163.7802899706,65.41906824823168,62.27136185619443,13.083813649646336,-4.78908708334995,7.379458415455314,-0.0410366670878709,0.0632329923945646,0.0753818057495113,205.47082570919335,54.67060977383734,205.399751285208,54.733821984705074,2006-03-29 11:04:12.359
1113,613.2066033016508,6013.206603301651,355164.3700185025,65.41895962390352,62.27136053057513,13.083791924780703,-4.818870012352043,7.447179641239092,-0.0412918705742996,0.0638132805388598,0.0760075688907807,205.5072738111318,54.66280755577448,205.43577012714243,54.726599801131165,2006-03-29 11:04:17.762
1114,618.6093046523265,6018.609304652327,355164.9604818763,65.41885086458349,62.27135920463532,13.083770172916696,-4.848592506499809,7.514931202926806,-0.0415465562058802,0.0643938286116787,0.0766334038705988,205.54370822081296,54.65499489575246,205.471776343323,54.719367434595405,2006-03-29 11:04:23.164
1115,624.0120060030022,6024.012006003002,355165.5516803689,65.41874197022186,62.271357878374914,13.083748394044372,-4.878254612458498,7.582713050568669,-0.0418007243824771,0.0649746361848759,0.0772593095374998,205.58012892919768,54.647171800858615,205.50776992373304,54.7121248917674,2006-03-29 11:04:28.567
1116,629.4147073536769,6029.414707353677,355166.1436145319,65.41863294071844,62.27135655179392,13.083726588143689,-4.907856360929132,7.65052511878967,-0.0420543753671607,0.0655557026981302,0.077885284597087,205.61653592728493,54.63933827818401,205.54375085862964,54.70487217918842,2006-03-29 11:04:33.970
1117,634.8174087043526,6034.817408704353,355166.73628247227,65.41852377642323,62.27135522489257,13.083704755284645,-4.937397789732515,7.718367348404529,-0.0423075094840094,0.0661370276441587,0.0785113278732142,205.6529292061173,54.63149433482294,205.57971913820663,54.69760930345591,2006-03-29 11:04:39.372
1118,640.2201100550283,6040.220110055028,355167.329686015,65.41841447700145,62.271353897670544,13.083682895400289,-4.966878938682644,7.786239682474957,-0.042560127074181,0.0667186105349322,0.0791374382540985,205.68930875677972,54.62363997787213,205.6156747526693,54.690336271188905,2006-03-29 11:04:44.775
1119,645.622811405703,6045.622811405703,355167.9238239981,65.41830504266848,62.2713525701283,13.083661008533696,-4.996299816749736,7.854142033603039,-0.0428122282145395,0.0673004506214193,0.0797636143032502,205.72567457039645,54.61577521443208,205.6516176927184,54.6830530887495,2006-03-29 11:04:50.178
1120,651.0255127563787,6051.025512756379,355168.51869664737,65.4181954733841,62.27135124226552,13.08363909467682,-5.025660482509905,7.922074364189675,-0.0430638134070115,0.0678825475813035,0.080389855208504,205.762026638133,54.60790005160642,205.6875479483588,54.675759762929125,2006-03-29 11:04:55.581
1121,656.4282141070544,6056.428214107054,355169.11430404143,65.41808576913515,62.27134991408252,13.08361715382703,-5.054960940213235,7.990036582607525,-0.0433148826880154,0.0684649006293119,0.0810161595518148,205.79836495119744,54.60001449650161,205.7234655104424,54.66845630005955,2006-03-29 11:05:00.983
1122,661.8309154577291,6061.830915457729,355169.71064566413,65.41797593001809,62.27134858557906,13.08359518600362,-5.084201225700168,8.05802862662314,-0.0435654363646609,0.0690475092320412,0.0816425263061955,205.83468950083943,54.592118556226886,205.7593703693927,54.6611427067269,2006-03-29 11:05:06.386
1123,667.2336168084048,6067.233616808405,355170.30772205075,65.41786595593571,62.27134725675528,13.083573191187142,-5.113381427386118,8.126050486453833,-0.0438154751945611,0.0696303733055266,0.0822689550968312,205.87100027834663,54.584212237895976,205.79526251489028,54.65381898997062,2006-03-29 11:05:11.789
