psi_deg,lat_deg,lon_deg,elev_m,eff_radius_km,ang_rad,radius_px,x_px,y_px,sun_visible,radius_comp_px,ae_x,ae_y
331.171875,-7.140350969523782,91.8716254982742,2729.34838289615,1740.1293483828963,0.0049004477516957,32.76743532332093,28.706570150243667,-15.79992556555757,True,540.2943113268906,2521.335688217391,1340.521149068492
331.34765625,-6.964570100869263,91.87125655568028,2729.3519501672745,1740.1293519501676,0.0049004477617095,32.76743539028042,28.75490859891131,-15.711780724171852,True,540.2943124309694,2522.1327291995676,1339.0677501099344
331.5234375,-6.788789231928959,91.87088788952224,2729.355517479214,1740.1293555174796,0.0049004477717912,32.767435457694376,28.80297639602448,-15.623487997378282,True,540.2943135425418,2522.92530747376,1337.611912704675
331.69921875,-6.613008362710466,91.87051949255724,2729.3590848312283,1740.1293590848315,0.0049004477818277,32.76743552480536,28.85077308848472,-15.535048215858296,True,540.2943146491185,2523.7134155689373,1336.1536505496188
331.875,-6.437227493221147,91.87015135756302,2729.362652222549,1740.1293626522229,0.0049004477918641,32.76743559191634,28.89829822667614,-15.446462212185423,True,540.2943157556953,2524.497046071492,1334.69297737287
332.05078125,-6.261446623468488,91.86978347733748,2729.3662196524515,1740.1293662196529,0.0049004478019232,32.7674356591788,28.94555136340673,-15.357730820235297,True,540.2943168647697,2525.2761916077834,1333.2299069240012
332.2265625,-6.08566575345998,91.86941584469815,2729.36978712025,1740.1293697871206,0.0049004478119597,32.767435726289776,28.99253205364343,-15.268854875038588,True,540.2943179713463,2526.05084483977,1331.764452971631
332.40234375,-5.909884883202909,91.86904845248144,2729.3733546251324,1740.1293733546254,0.0049004478220188,32.76743579355225,29.039239855452863,-15.1798352132705,True,540.294319080421,2526.820998480517,1330.2966293114957
332.578125,-5.734104012704717,91.8686812935422,2729.376922166355,1740.1293769221668,0.0049004478320552,32.767435860663234,29.085674328933976,-15.090672672676652,True,540.2943201869978,2527.586645276605,1328.8264497569785
332.75390625,-5.558323141972823,91.86831436075312,2729.3804897433124,1740.1293804897437,0.0049004478421143,32.7674359279257,29.131835037295403,-15.001368092628224,True,540.2943212960724,2528.347778025885,1327.3539281482683
332.9296875,-5.382542271014477,91.86794764700424,2729.384057355124,1740.1293840573555,0.0049004478521508,32.76743599503668,29.177721545784728,-14.911922313554175,True,540.294322402649,2529.1043895598305,1325.879078342995
333.10546875,-5.206761399837055,91.86758114520224,2729.38762500119,1740.1293876250015,0.0049004478621872,32.76743606214765,29.223333422634,-14.822336177421464,True,540.2943235092256,2529.856472759124,1324.4019142241475
333.28125,-5.030980528447937,91.86721484827004,2729.39119268069,1740.129391192681,0.004900447872269,32.76743612956162,29.26867023879635,-14.732610527584606,True,540.2943246207982,2530.6040205493155,1322.9224496975949
333.45703125,-4.855199656854298,91.86684874914611,2729.394760393028,1740.129394760393,0.0049004478823054,32.76743619667259,29.31373156700245,-14.64274620830168,True,540.2943257273748,2531.347025885264,1321.440698684104
333.6328125,-4.67941878506354,91.86648284078407,2729.3983281373216,1740.1293983281375,0.0049004478923418,32.767436263783566,29.358516983386977,-14.55274406554643,True,540.2943268339513,2532.085481777958,1319.9566751327307
333.80859375,-4.503637913082823,91.86611711615204,2729.4018959129785,1740.1294018959134,0.0049004479024009,32.767436331046035,29.40302606654737,-14.462604946519546,True,540.294327943026,2532.8193812789914,1318.4703930127637
333.984375,-4.327857040919458,91.86575156823204,2729.4054637192503,1740.1294054637196,0.0049004479124827,32.76743639846,29.44725839754665,-14.372329699642965,True,540.2943290545985,2533.5487174806144,1316.9818663136255
334.16015625,-4.152076168580724,91.8653861900196,2729.4090315554035,1740.1294090315555,0.0049004479224738,32.76743646526799,29.49121355937102,-14.281919174289758,True,540.2943301561793,2534.2734835067877,1315.4911090404232
334.3359375,-3.9762952960737534,91.8650209745231,2729.4125994206925,1740.129412599421,0.0049004479325556,32.767436532681955,29.534891139386577,-14.19137422196752,True,540.2943312677519,2534.9936725536895,1313.9981352334607
334.51171875,-3.800514423405813,91.86465591476328,2729.416167314532,1740.129416167315,0.0049004479425694,32.76743659964144,29.578290725527346,-14.100695694457942,True,540.2943323718307,2535.7092778268648,1312.502958937559
334.6875,-3.6247335505841543,91.86429100377272,2729.4197352361007,1740.1294197352363,0.0049004479526058,32.76743666675241,29.621411909844703,-14.009884445524191,True,540.2943334784071,2536.420292599747,1311.0055942302126
334.86328125,-3.448952677615868,91.86392623459524,2729.423303184736,1740.1294233031851,0.0049004479626876,32.767436734166374,29.664254286602297,-13.91894132997884,True,540.2943345899797,2537.1267101822477,1309.5060552062193
335.0390625,-3.2731718045081704,91.8635616002854,2729.42687115978,1740.12942687116,0.004900447972724,32.76743680127734,29.706817452002,-13.827867203554357,True,540.2943356965562,2537.828523916238,1308.0043559755445
335.21484375,-3.097390931268296,91.863197093908,2729.4304391604164,1740.1294304391608,0.0049004479827605,32.76743686838832,29.749101005695845,-13.736662923604149,True,540.294336803133,2538.5257272004756,1306.5005106748813
335.390625,-2.921610057903288,91.8628327085375,2729.434007185988,1740.1294340071863,0.0049004479927743,32.76743693534781,29.791104549556056,-13.64532934851396,True,540.2943379072117,2539.2183134703287,1304.9945334579443
335.56640625,-2.7458291844204155,91.8624684372575,2729.4375752358965,1740.129437575236,0.004900448002856,32.76743700276177,29.832827688779226,-13.553867338201623,True,540.2943390187842,2539.90627621598,1303.4864385037104
335.7421875,-2.570048310826703,91.86210427316028,2729.4411433092623,1740.1294411433096,0.0049004480129151,32.76743707002424,29.874270030099417,-13.46227775328908,True,540.2943401278588,2540.5896089529624,1301.9762400027673
335.91796875,-2.3942674371293333,91.86174020934612,2729.444711405569,1740.129444711406,0.0049004480229516,32.76743713713521,29.9154311834438,-13.370561455853151,True,540.2943412344354,2541.2683052494585,1300.4639521696904
